Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
125,FRS-05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
126,FRS-06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
127,FRS-07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
128,FRS-08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
129,FRS-09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
130,FRS-10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
131,FRS-11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
132,FRS-12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
133,FRS-13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
134,FRS-14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
135,GMRS-15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
136,GMRS-16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
137,GMRS-17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
138,GMRS-18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
139,GMRS-19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
140,GMRS-20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
141,GMRS-21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
142,GMRS-22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
206,Sea06Saf,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
208,Sea08Btw,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
209,Sea09Cal,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
210,Sea10Cmm,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
211,Sea11Cmm,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
216,Sea16Emr,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
269,Sea69Prt,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
271,Sea71Prt,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
272,Sea72Btw,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
273,Sea73Prt,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
274,Sea74Prt,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
277,Sea77Prt,156.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
287,Sea87Prt,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
288,Sea88Prt,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
302,R02Meteo,300.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
303,R03Shluz,300.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
304,R04Srvcs,300.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
305,R05Call*,300.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
306,R06-II,336.250000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
307,R07-II,336.300000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
308,R08-II,336.350000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
309,R09-II,336.400000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
310,R10-II,336.450000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
311,R11-II,336.500000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
322,R22Ports,336.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
323,R23Ports,336.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
324,R24Share,336.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
325,R25Yahts,336.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
341,R41Intrn,300.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
342,R42Boats,300.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
343,R43Yahts,300.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
346,R46-II,336.275000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
347,R47-II,336.325000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
348,R48-II,336.375000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
349,R49-II,336.425000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
350,R50-II,336.475000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
361,R61Ports,336.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
362,R62Ports,336.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
363,R63Unknw,336.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
364,R64Suda,336.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
365,R65Suda,336.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
371,R71-II,336.025000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
372,R72-II,336.075000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
373,R73-II,336.125000,-,36.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
